item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel
Black Blood of the Earth [Audio CD] Big China and Little Trouble,,0121OYZCMJ1,2014-01-20-B001AXFRKE-025,4,,2014-01-21 12:01:39 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B001AXFRKE,,,1,,,B001AXFRKE,,,,AMAZON_NA
Proof of Dark Matter / Light the Lights [Audio CD] Aughra,,0121OYZCKYD,2014-01-20-B001CITQQS-024,4,,2014-01-21 12:01:36 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B001CITQQS,,,1,,,B001CITQQS,,,,AMAZON_NA
Golden City [Audio CD] Golden City,,0121OYZCS3V,2014-01-20-B001VLP57A-028,4.96,,2014-01-21 12:01:53 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B001VLP57A,,,1,,,B001VLP57A,,,,AMAZON_NA
"Fire, Fuel Treatments, and Ecological Restoration: Conference Proceedings, April 16-18, 2002 (Proceedings RMRS-P-29) [Paperback] [Jan 01, 2003]",,0121OYZBDHD,2014-01-20-B002B8YDP2-001,15.72,,2014-01-21 11:59:53 PST,,y,1,,Very good condition. Light shelving wear. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided with every order. Slight wear on edges and covers; otherwise item is in very good condition.,2,,,,B002B8YDP2,,,1,,,B002B8YDP2,,,,AMAZON_NA
Friends With A Demon [Audio CD] Loser Life,,0121OYZC5OD,2014-01-20-B002H3ZVEI-018,4,,2014-01-21 12:00:58 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B002H3ZVEI,,,1,,,B002H3ZVEI,,,,AMAZON_NA
Throw Me Through Walls [Audio CD] City Safe From the Sea,,0121OYZCQ1P,2014-01-20-B002PCKWZO-027,5.98,,2014-01-21 12:01:49 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B002PCKWZO,,,1,,,B002PCKWZO,,,,AMAZON_NA
Sailor Lost Around the Earth [Audio CD] Valerian Swing,,0121OYZC0G1,2014-01-20-B004LSJCLK-033,4.07,,2014-01-21 12:00:46 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B004LSJCLK,,,1,,,B004LSJCLK,,,,AMAZON_NA
"Moon Over Manifest [Hardcover] [Oct 12, 2010] Vanderpool, Clare",,0128O9KAYN1,2014-01-27-0385738838-066,7.95,,2014-01-27 23:29:45 PST,,y,1,,Good condition (has chunk out of corner of back cover). NO writing or highlighting. Average used copy. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Good readable copy. Worn edges and covers and may have small creases. Otherwise item is in good condition.,3,,,,385738838,,,1,,,385738838,,,,AMAZON_NA
"Candice Olson Kitchens and Baths [Paperback] [Mar 04, 2011] Olson, Candice",,0128O9K92IJ,2014-01-27-0470889373-012,14.5,,2014-01-27 23:28:30 PST,,y,1,,Good condition. NO writing or highlighting. Average used copy. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Good readable copy. Worn edges and covers and may have small creases. Otherwise item is in good condition.,3,,,,470889373,,,1,,,470889373,,,,AMAZON_NA
"Alone in the Kitchen with an Eggplant: Confessions of Cooking for One and Dining Alone [Paperback] [Jul 01, 2008] Ferrari-Adler, Jenni",,0128O9KDRAD,2014-01-27-1594483132-071,7.95,,2014-01-27 23:31:06 PST,,y,1,,Very good condition. NO writing or highlighting. Light shelving wear. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided with every order. Slight wear on edges and covers; otherwise item is in very good condition.,2,,,,1594483132,,,1,,,1594483132,,,,AMAZON_NA
Arata Isozaki-Architecture Fro [VHS] [VHS Tape] [2001],,0128O9JM4ZD,2014-01-27-B000056VRS-082,25,,2014-01-27 23:11:27 PST,,y,1,,Factory sealed. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Item is brand new.,11,,,,B000056VRS,,,1,,,B000056VRS,,,,AMAZON_NA
"History: Lawrence County South Dakota [Hardcover] [Jan 01, 1981]",,0128O9KB1HJ,2014-01-27-B000LZ2A52-021,99.95,,2014-01-27 23:29:56 PST,,y,1,,Extremely rare classic. Good condition. NO writing or highlighting. Average used copy. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Good readable copy. Worn edges and covers and may have small creases. Otherwise item is in good condition.,3,,,,B000LZ2A52,,,1,,,B000LZ2A52,,,,AMAZON_NA
I Have Supped Full On Horrors [Audio CD] Romance Of Young Tigers,,0128O9JN69V,2014-01-27-B001CITQUE-001,4,,2014-01-27 23:12:16 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B001CITQUE,,,1,,,B001CITQUE,,,,AMAZON_NA
No Object [Explicit] [Audio CD] Whiskey Blanket,,0128O9JMGK1,2014-01-27-B004G1IPJC-086,9.78,,2014-01-27 23:11:45 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B004G1IPJC,,,1,,,B004G1IPJC,,,,AMAZON_NA
"The Association of American Geographers: The First Seventy-five Years, 1904-1979 [Unknown Binding] [Jan 01, 1978] P. E. James and G. J. Martin",,0128O9KBWS7,2014-01-27-B006FEGOQO-025,6.79,,2014-01-27 23:30:26 PST,,y,1,,Good condition. NO writing or highlighting. Average used copy. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Good readable copy. Worn edges and covers and may have small creases. Otherwise item is in good condition.,3,,,,B006FEGOQO,,,1,,,B006FEGOQO,,,,AMAZON_NA
"Lights, Camera, Flutes! [Audio CD] Resonance Flute Consort; Tim Weisberg & David Benoit; various; none; David Benoit and Tim Weisberg",,0128O9JMQF1,2014-01-28-B0085MJF88-089,11.94,,2014-01-27 23:11:54 PST,,y,1,,"Guaranteed to play perfectly or your money back. Eligible for FREE Super Saving Shipping! Fast Amazon shipping plus a hassle free return policy mean your satisfaction is guaranteed! Tracking number provided in your Amazon account with every order. Crisp, clean pages; like new.",1,,,,B0085MJF88,,,1,,,B0085MJF88,,,,AMAZON_NA
"Schaum's Outline of  Electromagnetics [Oct 01, 1994] Edminister, Joseph",,0610P4S6UF7,Alabama-2015-06-08-0070212341-064,11.21,,2015-06-09 20:56:34 PDT,,y,1,,Note: Has pencil writing on 9 pages only.,4,,,,70212341,,,1,,,70212341,,,,AMAZON_NA
"The Longman Anthology of British Literature, Volume 2B: The Victorian Age [Aug 26, 2002] David Damrosch; Heather Henderson and William Chapman Sharpe",,0610P4S6CTV,Alabama-2015-06-08-0321106695-060,9.48,,2015-06-09 20:56:06 PDT,,y,1,,Average reading wear. Eligible for free 2nd day shipping with Amazon Prime.,3,,,,321106695,,,1,,,321106695,,,,AMAZON_NA
"Eternal Security [Paperback] [Sep 01, 2002] Stanley, Charles",,0610P4S6GFV,Alabama-2015-06-08-0785264175-061,9.45,,2015-06-09 20:56:11 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,785264175,,,1,,,785264175,,,,AMAZON_NA
"The Works of Edmund Spenser, Vol. 6: The Faerie Queene, Books 6-7 [Paperback] [Nov 28, 2001] Spenser, Edmund; Greenlaw, Edwin; Osgood, Charles Grosvenor; Pedelford, Frederick Morgan and Heffner, Ray",,0610P4SJIKV,Alabama-2015-06-08-0801869889--39,11.59,,2015-06-09 21:04:33 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,801869889,,,1,,,801869889,,,,AMAZON_NA
"The Passion Conversation: Understanding, Sparking, and Sustaining Word of Mouth Marketing [Hardcover] [Aug 26, 2013] Phillips, Robbin; Cordell, Greg; Church, Geno and Moore, John",,0610P4S1ANJ,Alabama-2015-06-08-111853333X--26,17.99,,2015-06-09 20:49:25 PDT,,y,1,,No dust jacket. Average reading wear. Eligible for free 2nd day shipping with Amazon Prime.,3,,,,111853333X,,,1,,,111853333X,,,,AMAZON_NA
"Fire and Ice: My Adventures and Spiritual Growth While Teaching Afghans to Fly [Paperback] [Jun 11, 2012] Andrewsen, Maj. Todd R",,0610P4SG4Q7,Alabama-2015-06-08-1477467963--50,4.32,,2015-06-09 21:03:44 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,1477467963,,,1,,,1477467963,,,,AMAZON_NA
"Letters to My Brothers: Words of Hope and Challenge for Priests [Paperback] [Oct 14, 2013] Stephen J. Rossetti",,0610P4SBTRV,Alabama-2015-06-08-1594714614--70,9.99,,2015-06-09 21:01:23 PDT,,y,1,,Average reading wear. Eligible for free 2nd day shipping with Amazon Prime.,3,,,,1594714614,,,1,,,1594714614,,,,AMAZON_NA
"Literacy in the Intermediate Grades: Best Practices for a Comprehensive Program [Feb 01, 2003] Cecil, Nancy L and Chiron, Yves P",,0610P4S2WBD,Alabama-2015-06-08-189087146X-032,7.98,,2015-06-09 20:51:29 PDT,,y,1,,"Book has highlighted pages. Readable copy. All pages complete and readable but expect worn edges, covers, and creases. There is no Amazon condition below acceptable.",4,,,,189087146X,,,1,,,189087146X,,,,AMAZON_NA
"Greetings from Delaware and Other Artist Communities: The Jann Haynes Gilmore and B. Joyce Puckett Collection of Artist Greeting Cards [Nov 05, 2007] Jann Haynes Gilmore; Ph.D. and Ryan D. Grover",,0610P4SEN01,Alabama-2015-06-08-1893287092--54,16.99,,2015-06-09 21:03:21 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,1893287092,,,1,,,1893287092,,,,AMAZON_NA
"Macmillan Language Arts Today Grade 7 TE (Language Arts Today) [Hardcover] [Jan 01, 1993] Ann McCallum",,0610P5YKLOV,Alabama-2015-06-09-0022441263-111,249.01,,2015-06-10 13:31:19 PDT,,y,1,,Average reading wear. Eligible for free 2nd day shipping with Amazon Prime.,3,,,,22441263,,,1,,,22441263,,,,AMAZON_NA
"Macmillan Language Arts Today Grade 8 [Hardcover] [Jan 01, 1993] Ann McCallum and William Strong",,0610P5YKK01,Alabama-2015-06-09-0022441271-108,8.12,,2015-06-10 13:31:17 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,22441271,,,1,,,22441271,,,,AMAZON_NA
"Osha Compliance Guide For Medical Employers [Mar 31, 2004] Busick, Jennifer and Kirk, H. Ray",,0610P4S9ET1,Alabama-2015-06-09-0735546959-213,349.99,,2015-06-09 20:59:13 PDT,,y,1,,Factory sealed (has tear in shrinkwrap but this book is unopened). Eligible for free second-day shipping with Amazon Prime.,11,,,,735546959,,,1,,,735546959,,,,AMAZON_NA
"Selections From the Book of Songs [Paperback] [Jul 17, 2012] Xu, Yuanzhong",,0610P4S9GDP,Alabama-2015-06-09-083510009X-214,5.97,,2015-06-09 20:59:15 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,083510009X,,,1,,,083510009X,,,,AMAZON_NA
"Memoirs of Emma, Lady Hamilton, the Friend of Lord Nelson,  and the Court of Naples [Paperback] [Jun 01, 2001] Hamilton, Emma",,0610P4S7FLP,Alabama-2015-06-09-0898753740-198,10.81,,2015-06-09 20:57:13 PDT,,y,1,,Average reading wear. Eligible for free 2nd day shipping with Amazon Prime.,3,,,,898753740,,,1,,,898753740,,,,AMAZON_NA
"Tetralogy of the times: Stories of Cyprus (Nostos Books on modern Greek history and culture) [Jan 01, 1998] Pierides, G. Philippou",,0610P4S5WID,Alabama-2015-06-09-0932963099-179,8.89,,2015-06-09 20:55:29 PDT,,y,1,,No dust jacket. Average reading wear. Eligible for free 2nd day shipping with Amazon Prime.,3,,,,932963099,,,1,,,932963099,,,,AMAZON_NA
"How to Knock a Bravebird from Her Perch (The Morrow Girls) [Jan 02, 2014] Bryant Simmons, D.",,0610P4S2T4D,Alabama-2015-06-09-0985751665-139,10.75,,2015-06-09 20:51:19 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,985751665,,,1,,,985751665,,,,AMAZON_NA
"Poems for Comfort: Occasional, Effective, Meaningful, Satisfying [Paperback] [Mar 01, 2011] Davis, Wanda Alexander",,0610P4RYMMV,Alabama-2015-06-09-1453596216-083,10.99,,2015-06-09 20:46:15 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,1453596216,,,1,,,1453596216,,,,AMAZON_NA
"The Billionaire Who Wasn't: How Chuck Feeney Secretly Made and Gave Away a Fortune [Sep 23, 2008] O'Clery, Conor",,0610P4S7867,Alabama-2015-06-09-158648642X-194,12.93,,2015-06-09 20:56:55 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,158648642X,,,1,,,158648642X,,,,AMAZON_NA
"Tumbledown [Paperback] [Feb 18, 2014] Hunter, Cari",,0610P4S2UFV,Alabama-2015-06-09-1626390851-140,12.99,,2015-06-09 20:51:23 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,1626390851,,,1,,,1626390851,,,,AMAZON_NA
"The French Father [Paperback] [Feb 05, 2013] Elkann, Alain and McEwen, Alastair",,0610P4RZQ9J,Alabama-2015-06-09-1908968044-097,10.64,,2015-06-09 20:47:26 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,1908968044,,,1,,,1908968044,,,,AMAZON_NA
"Ghost towns of Gentry County, Missouri [Jan 01, 1972] Hammond, Loy Layton",,0610P4S7OV1,Alabama-2015-06-09-B0006Y8CEG-202,99.99,,2015-06-09 20:57:32 PDT,,y,1,,Very light shelving wear. Otherwise perfect. Eligible for free 2nd day shipping with Amazon Prime.,2,,,,B0006Y8CEG,,,1,,,B0006Y8CEG,,,,AMAZON_NA
"Becoming More Civilized A Psychological Exploration (Zulu, Luto, Ganda of Africa) [Hardcover] [Jan 01, 1960] Doob, Leonard W.",,0610P4S26BJ,Alabama-2015-06-09-B000J5N0FI-126,8.32,,2015-06-09 20:50:26 PDT,,y,1,,"Readable copy. All pages complete and readable but expect worn edges, covers, and creases. There is no Amazon condition below acceptable.",4,,,,B0000CKZ0S,,,1,,,B0000CKZ0S,,,,AMAZON_NA
